X,Y,Z,R,G,B
-85.30151404418946,29.801985921020506,14.05700016021729,74,71,74
-85.30151404418946,29.801980198974608,19.05599975585938,101,110,83
-85.30152930297852,29.802085103149413,9.32699966430664,31,45,66
-85.30152930297852,29.802085103149413,8.59799957275391,23,45,67
-85.30152930297852,29.802085103149413,7.04699993133545,31,45,66
-85.30152167358399,29.80208319580078,7.46799993515015,23,45,67
-85.30152167358399,29.80207556640625,9.55900001525879,30,36,59
-85.30152930297852,29.80207747375488,8.10799980163574,26,38,62
-85.30152167358399,29.802073659057616,9.2480001449585,30,36,59
-85.30152167358399,29.80207556640625,8.45800018310547,30,36,59
-85.30152167358399,29.80207556640625,7.31799983978271,30,36,59
-85.30152930297852,29.80206984436035,10.27799987792969,57,48,73
-85.30152167358399,29.802067937011717,9.27799987792969,38,48,59
-85.30152930297852,29.802067937011717,8.1560001373291,57,48,73
-85.30152167358399,29.802066029663084,8.00699996948242,38,48,59
-85.30152167358399,29.80205649291992,14.1879997253418,42,46,67
-85.30152930297852,29.80205649291992,9.1870002746582,36,50,72
-85.30152167358399,29.80205649291992,7.47700023651123,36,50,72
-85.30152930297852,29.80205649291992,5.98600006103516,55,51,64
-85.30152167358399,29.802054585571288,6.58699989318848,42,46,67
-85.30152167358399,29.80204886352539,15.05700016021729,61,53,69
-85.30152167358399,29.802046956176756,14.61800003051758,61,53,69
-85.30152167358399,29.802046956176756,8.16899967193604,61,53,69
-85.30151404418946,29.802045048828123,7.61700010299683,52,57,70
-85.30152167358399,29.802046956176756,6.18699979782104,61,53,69
-85.30152167358399,29.802041234130858,18.14800071716309,68,76,89
-85.30152167358399,29.802041234130858,15.42599964141846,68,76,89
-85.30152167358399,29.802039326782225,8.30599975585938,68,76,89
-85.30152167358399,29.802031697387694,17.99799919128418,63,76,85
-85.30152167358399,29.80202979003906,10.49699974060059,63,76,85
-85.30152167358399,29.802024067993163,17.52599906921387,48,70,67
-85.30152167358399,29.80202216064453,14.83800029754639,48,70,67
-85.30151404418946,29.80202216064453,10.68599987030029,43,62,68
-85.30152167358399,29.8020088092041,14.81599998474121,48,52,73
-85.30152167358399,29.802004994506834,16.92900085449219,58,61,75
-85.30151404418946,29.802004994506834,14.91699981689453,60,65,76
-85.30151404418946,29.801985921020506,19.53800010681152,74,71,74
-85.30152167358399,29.801993550415038,8.03800010681152,75,81,86
-85.30151404418946,29.801999272460936,8.05599975585938,72,75,82
-85.30152167358399,29.80202216064453,17.52599906921387,43,62,68
-85.30152167358399,29.802027882690428,18.31900024414063,63,76,85
